Name,Tier,Points,PUUID
woo#qiqi,MASTER,381,PanA1wQ9iaRPWQeJUiPmsYKWLrWCx8tMlmRSMgrVQFMXGtqPIpufFP1oFoVY7mPkjiSenL1STQTiKw
CHINESE PALCO#NA1,MASTER,381,cg7HE0yp9hJKK3sW8MQBsamxotLTN3IogWgOCXxqgScjH0mhSnGtDmsSLjrnXGK9NH-Kodc84_w2MA
Chase#NA5,MASTER,381,QBaKW02Sb6X3eScWuCQeuAW-kaLEoiJ4kCOQfg-9YFxPoQWRM-lDUfjlSZhJhEu9UqofExZAYBNMgQ
cfa adc#chick,MASTER,381,UTOq7LovECwJ5mjEvCW9xTCfmGdWUG1ZIHhsnv3yUFuthNb1EkgO4YGje1m9NwIJpKGDzi2ZWHMZ7w
Santa#dam,MASTER,380,fJXJ535X8mbA50zuIcMks6n8_OHqAxiVIkJCruYmQHmLOsDI6mMjn12U-EiXeOiE_FH_MTgP4I2viw
asdzxcqwe#1543,MASTER,379,bDsPGN05IJ1HelyVPLkePl_kWJU4LRZlnt8Rcank61nxEHr-LZWP5CHtY-FxCn7yY0tk6Y5pgLTyDQ
mcqueen69#glub,MASTER,379,MdBOVnfXhGzTX5Kic4q2O969PQa_DCyZbHCjYyzU1Lm8nPIivmja9ZffiIIZmigywYn0lzgN_16vpA
love poppy#NA1,MASTER,379,SKQgs7ZwpT0CNas7CGUmybtL1rNDS2cWOa4wzGpB6SpC64HVuh0IxL_w9z5vFfFxZgo7xiMb5G2QDw
fyvonlvid#NA1,MASTER,378,Uf33CsX9qJre6HhPNkjvUTmftAYyADSRUTnsqtRfuISFYQSFDQyYzTYcNYASBUfZzC2-qc1eEi-B3w
TTV Zileanaire#NA2,MASTER,377,Ngyg9SEUYt6iGqwwZzfAcEHi8UZ5hIqI1ALWM2od08G3lV5l4mJmce7AkRfIFDQ5RqEJza3GXk8Y1w
Nex#CLOUD,MASTER,376,OB4mDT_F60ZWz4ENQJBiBjbbjg2zrFW8DOMtvEdLJJ0SuU7aoUy1enHo1d5WC1C0hDVYyOZli1fXjg
Kenvi#969,MASTER,376,2Aq8yrl8DAYZrV921rnncfdAMyUiCc4ZFF96coAIDg6qQde7KqJkkld9Ye6_fv9vBFVNCm11nzlByg
nogankplease#NA1,MASTER,375,TJ_s0-NuJr4LunOT9BpgjTULFRRXdIPkHYn-njuFm58lP9YY2tDUbpNx7SS_1tCkZZomRJRh8SjxZg
riversided#RAWR,MASTER,375,Yeyry6D_1_g8sahVD-VAgd08_f8JwwiPqf_eGJaFNaxaGAWIXIJbq7iVEPtFiHAfQp6_jz9SqcCe2A
小菊儿#班德尔,MASTER,375,-2PRVXABHdrXdYLqrjQJiRPrDez-OkMoEe4emGIOK86anQIwhv0MKPIGuhyGvFRxOVrx175xnUtjWg
Bathbomb#bath,MASTER,373,3MwlQAZONx8WkJ12txwIs93AOEgajrGH2r3qv2lTjgU2JuQp1bK_iuafbLNk-HmzhcNCrRuzt8ZTlQ
accountt#NA1,MASTER,372,8TblnLOb1wP1_uQVSV2MpH37qtwXOd1-tCwDMcyxD8v3ItTYy_OW8GIMfaD_TaJeEnqXAXK_QG2e6w
hermicide#NA1,MASTER,372,QwH0Xxt57aKCI289pkn7JVKnzAfS6AngvBNpSKcgFJdbFKHH5PyeWGSdY7oEjEHVDzOMPLG6FUv-cg
Decoy#Kat,MASTER,371,U7jTuSVdy_5OO3N5d8svzLW7EVDs5i-BnahZUdLVCxfNMemdaV_wxuW6YrhxOlYnSe4aPTPoThTKsQ
NIKJOJO#123,MASTER,370,uTj6EYqcWpgc9wDbNiLjx9khxxIx3M4hnuGoR1lMH5vCB0vKi5b6Qp4_Ug4tffgAC6YCcBk-btJm8w
Reveall#7469,MASTER,369,BdVRMr9d2HPnN3MdCSdJxkDxSZvJeoxTHyeVsg7gRdQ0dVTN8MIcCKQ9bm14vMHszdyL1oErq54P3w
成王败寇#1103,MASTER,369,x0CJsVWFkjgMoiVh_qdaf3U_Ttb1yFih8qU_dqMg_YLbgy5yMldWeZVEzi99Zsr5UISsZ28TYKdafA
spad4#NA1,MASTER,369,LaTHEW0GKxErHJ-26MRSzb0mbpsttWXuzd7bMWhT4g9txMUtrDcOieiEgbZ451a3LKui5tMj6pgtpw
OlderThanYourDad#NA1,MASTER,369,RY78Mj7Ds_vicbQArShXtW9GP6nZVAZ38M-7BLVKWlwwqu7yUiPj-3PdKbuDeycYqW26nMw0xRoSUQ
tsunting#0609,MASTER,367,siIbk-AKCDGXj5v5Ulnrr10yaLhJbH3CQP_6OBJ00TzaUkTgewiFkky8Jpp5t4eRE4ZrVkqVnfomKw
Protofo#tree3,MASTER,367,v3-95b_QO1MFRzwCnZqfWGObqdkbujBzLU6XXSIfv1JubbBecF1c8W96MWFMpps1wvNNU2PNY42g9Q
Miso#soup2,MASTER,367,vl8ALHMWAF725oabyki7nVWHgSMdPIc-IKG53F1LNhCGqPIxh0o7Fc04AGWOnWnGbNELEuJKw3S85A
Foxlooo#NA1,MASTER,365,BPg4tyIMl_aKxaviw5NDp2wInEwR_oR4kXSbMpMTGx6f5WlmxT0xJ4YJ5OyFtLWHya0hWk1EelTHJg
Kakuree#NA1,MASTER,365,MT0gW31fmvVVxolL94739XJ2XjLbGn91EbokbM2FxE6CZKXcAR6MOOthoH4IMujpytRcchEZSw8l2g
Bloodreina#matty,MASTER,365,vC8nXr9VcnA2ZcawJ6MIEhqK6oYvhpc5XruVTChDorQm0lR_IW_oCbnkku3gFgHO8MWtLbEunKDrLA
Doggie Style#Feral,MASTER,364,wpH-qlxsfKxYdcynZ3SVORA3tSUpHxXs7SEqPE7h3mxgt4XOkQSJYa6t6A31W8azBOXGaz5i3YWGTQ
oKyler1#NA1,MASTER,364,JCYQdo7EaRIM6E-Ml9a7_lM6aHeeIRxDiL9zZ6oCvtMSHS9OlRdpMwE3isYBXCEnT9des2Bh4NmW7g
TESKnight#MVP,MASTER,364,PehYkFcQDGcOixOkPGMo6CqFAPugHd6PemFrsEMaA4Zbg1hdzrW7vyY3TVUgXyWUcxRliZA_qbLlXQ
